Generation	Bias	Standardized.fitness	Adjusted.fitness	Hits
0	false	24.178835	0.039715897	0
1	false	24.178835	0.039715897	0
2	false	24.05485	0.039912432	1
3	false	22.757442	0.042092074	1
4	false	21.405973	0.044630956	1
5	false	21.381271	0.044680215	3
6	false	19.667068	0.048386157	1
7	false	18.727207	0.05069141	0
8	false	17.479437	0.054114204	0
9	false	16.946497	0.055721182	0
10	false	16.946497	0.055721182	0
11	false	16.946497	0.055721182	0
12	false	15.194655	0.06174876	1
13	false	13.552601	0.068716235	3
14	false	13.18636	0.07049024	2
15	false	13.18636	0.07049024	2
16	false	12.740724	0.07277637	3
17	false	12.513519	0.07399997	3
18	false	11.712862	0.078660496	3
19	false	11.010971	0.08325721	4
20	false	10.493293	0.08700727	4
21	false	10.493293	0.08700727	4
22	false	9.936114	0.091440156	11
23	false	9.936114	0.091440156	11
24	false	9.936114	0.091440156	11
25	false	9.936114	0.091440156	11
26	false	9.936114	0.091440156	11
27	false	9.934696	0.09145202	7
28	false	9.853013	0.09214031	10
29	false	9.738241	0.09312512	2
30	false	9.738241	0.09312512	2
31	false	9.619931	0.09416257	1
32	false	9.433761	0.09584272	2
33	false	9.433761	0.09584272	2
34	false	9.020245	0.099797964	2
35	false	8.744754	0.10261932	0
36	false	8.108912	0.10978259	5
37	false	7.9354777	0.11191343	8
38	false	7.9354777	0.11191343	8
39	false	7.6123066	0.11611291	9
40	false	7.3980374	0.11907545	11
41	false	7.3649383	0.1195466	8
42	false	7.3649383	0.1195466	8
43	false	7.3649383	0.1195466	8
44	false	7.3649383	0.1195466	8
45	false	7.3387794	0.119921625	9
46	false	7.3387794	0.119921625	9
47	false	7.3387794	0.119921625	9
48	false	7.3387794	0.119921625	9
49	false	7.333872	0.11999225	7
50	false	7.333872	0.11999225	7
0	false	24.818584	0.03873179	2
1	false	24.818584	0.03873179	2
2	false	24.818584	0.03873179	2
3	false	22.099611	0.04329077	1
4	false	21.49397	0.044456355	3
5	false	20.41803	0.046689637	3
6	false	18.892118	0.05027117	1
7	false	16.501446	0.057138138	2
8	false	15.37437	0.06107105	2
9	false	14.997285	0.06251061	2
10	false	12.9159565	0.071859956	1
11	false	7.342026	0.11987496	3
12	false	7.341985	0.119875535	3
13	false	7.1501026	0.122697845	3
14	false	5.8926945	0.14508115	3
15	false	5.517319	0.15343732	9
16	false	5.466039	0.15465418	7
17	false	5.466039	0.15465418	7
18	false	5.279608	0.15924561	7
19	false	5.275794	0.1593424	9
20	false	4.859975	0.1706492	11
21	false	4.4997864	0.18182525	5
22	false	4.3638678	0.18643263	5
23	false	3.5638087	0.21911524	7
24	false	3.5050948	0.22197093	13
25	false	3.4153335	0.22648345	11
26	false	3.4153335	0.22648345	11
27	false	3.3503838	0.22986478	10
28	false	3.1852083	0.23893674	15
29	false	3.110462	0.24328165	11
30	false	3.0852985	0.24478015	13
31	false	2.3797362	0.2958811	10
32	false	2.3797362	0.2958811	10
33	false	2.3729403	0.29647723	10
34	false	2.369629	0.29676858	10
35	false	2.304873	0.3025835	10
36	false	2.2799742	0.30488044	9
37	false	2.2792168	0.30495086	9
38	false	2.195796	0.3129111	10
39	false	2.161194	0.31633615	8
40	false	2.079728	0.32470402	14
41	false	2.051297	0.3277295	16
42	false	2.0430503	0.32861763	11
43	false	2.0430503	0.32861763	11
44	false	2.0306404	0.32996327	11
45	false	2.0235434	0.33073777	9
46	false	2.0104415	0.3321772	12
47	false	1.9900411	0.33444354	18
48	false	1.9900411	0.33444354	18
49	false	1.9786046	0.3357277	18
50	false	1.9434917	0.33973256	17
0	false	28.776073	0.033584014	1
1	false	24.599463	0.03906332	1
2	false	24.360962	0.03943068	0
3	false	24.348463	0.039450124	1
4	false	23.042223	0.041593492	1
5	false	23.042223	0.041593492	1
6	false	21.576626	0.044293597	1
7	false	20.30688	0.046933196	1
8	false	20.30688	0.046933196	1
9	false	20.30688	0.046933196	1
10	false	19.94912	0.047734704	0
11	false	19.241331	0.049403865	1
12	false	18.633415	0.050933573	1
13	false	18.622963	0.050960705	0
14	false	18.5464	0.051160317	1
15	false	17.071636	0.05533533	4
16	false	17.071636	0.05533533	4
17	false	16.737898	0.056376465	4
18	false	16.248215	0.057977013	4
19	false	16.248215	0.057977013	4
20	false	12.909339	0.07189414	4
21	false	11.106754	0.08259852	2
22	false	11.096272	0.08267009	2
23	false	9.634704	0.094031766	5
24	false	9.140315	0.098616265	2
25	false	9.140315	0.098616265	2
26	false	9.032896	0.09967212	5
27	false	8.241601	0.10820636	3
28	false	8.241601	0.10820636	3
29	false	7.711502	0.11479077	3
30	false	6.6109633	0.13138941	4
31	false	6.3077908	0.13684027	4
32	false	6.3077908	0.13684027	4
33	false	5.901047	0.14490554	4
34	false	5.3587375	0.15726392	5
35	false	5.3587375	0.15726392	5
36	false	5.3587375	0.15726392	5
37	false	5.0950317	0.16406806	7
38	false	4.689757	0.17575443	4
39	false	4.689757	0.17575443	4
40	false	4.55426	0.180042	4
41	false	3.4995713	0.2222434	6
42	false	3.812773	0.20778044	3
43	false	3.4163086	0.22643346	4
44	false	2.708115	0.2696788	5
45	false	1.9256499	0.3418044	13
46	false	1.9256499	0.3418044	13
47	false	1.8955232	0.34536076	23
