Generation	Bias	Standardized.fitness	Adjusted.fitness	Hits
0	false	53.0	0.018518519	36
1	false	52.0	0.018867925	37
2	false	51.0	0.01923077	38
3	false	46.0	0.021276595	43
4	false	46.0	0.021276595	43
5	false	29.0	0.033333335	60
6	false	41.0	0.023809524	48
7	false	39.0	0.025	50
8	false	39.0	0.025	50
9	false	39.0	0.025	50
10	false	39.0	0.025	50
11	false	39.0	0.025	50
12	false	39.0	0.025	50
13	false	26.0	0.037037037	63
14	false	26.0	0.037037037	63
15	false	24.0	0.04	65
16	false	22.0	0.04347826	67
17	false	20.0	0.04761905	69
18	false	13.0	0.071428575	76
19	false	13.0	0.071428575	76
20	false	13.0	0.071428575	76
21	false	13.0	0.071428575	76
22	false	13.0	0.071428575	76
23	false	10.0	0.09090909	79
24	false	9.0	0.1	80
25	false	8.0	0.11111111	81
26	false	8.0	0.11111111	81
27	false	8.0	0.11111111	81
28	false	8.0	0.11111111	81
29	false	8.0	0.11111111	81
30	false	8.0	0.11111111	81
31	false	4.0	0.2	85
32	false	4.0	0.2	85
33	false	3.0	0.25	86
34	false	3.0	0.25	86
35	false	3.0	0.25	86
36	false	3.0	0.25	86
37	false	3.0	0.25	86
38	false	2.0	0.33333334	87
39	false	2.0	0.33333334	87
40	false	2.0	0.33333334	87
41	false	2.0	0.33333334	87
42	false	1.0	0.5	88
43	false	1.0	0.5	88
44	false	1.0	0.5	88
45	false	1.0	0.5	88
46	false	1.0	0.5	88
47	false	1.0	0.5	88
48	false	1.0	0.5	88
49	false	1.0	0.5	88
50	false	1.0	0.5	88
0	true	56.0	0.01754386	33
1	true	52.0	0.018867925	37
2	true	52.0	0.018867925	37
3	true	44.0	0.022222223	45
4	true	44.0	0.022222223	45
5	true	45.0	0.02173913	44
6	true	39.0	0.025	50
7	true	32.0	0.030303031	57
8	true	32.0	0.030303031	57
9	true	27.0	0.035714287	62
10	true	26.0	0.037037037	63
11	true	22.0	0.04347826	67
12	true	10.0	0.09090909	79
13	true	10.0	0.09090909	79
14	true	10.0	0.09090909	79
15	true	10.0	0.09090909	79
16	true	10.0	0.09090909	79
17	true	10.0	0.09090909	79
18	true	9.0	0.1	80
19	true	9.0	0.1	80
20	true	9.0	0.1	80
21	true	9.0	0.1	80
22	true	8.0	0.11111111	81
23	true	8.0	0.11111111	81
24	true	8.0	0.11111111	81
25	true	8.0	0.11111111	81
26	true	8.0	0.11111111	81
27	true	8.0	0.11111111	81
28	true	8.0	0.11111111	81
29	true	8.0	0.11111111	81
30	true	8.0	0.11111111	81
31	true	8.0	0.11111111	81
32	true	8.0	0.11111111	81
33	true	8.0	0.11111111	81
34	true	8.0	0.11111111	81
35	true	8.0	0.11111111	81
36	true	8.0	0.11111111	81
37	true	8.0	0.11111111	81
38	true	8.0	0.11111111	81
39	true	8.0	0.11111111	81
40	true	8.0	0.11111111	81
41	true	8.0	0.11111111	81
42	true	8.0	0.11111111	81
43	true	8.0	0.11111111	81
44	true	8.0	0.11111111	81
45	true	8.0	0.11111111	81
46	true	8.0	0.11111111	81
47	true	8.0	0.11111111	81
48	true	8.0	0.11111111	81
49	true	8.0	0.11111111	81
50	true	8.0	0.11111111	81
0	false	52.0	0.018867925	37
1	false	52.0	0.018867925	37
2	false	27.0	0.035714287	62
3	false	27.0	0.035714287	62
4	false	24.0	0.04	65
5	false	24.0	0.04	65
6	false	21.0	0.045454547	68
7	false	13.0	0.071428575	76
8	false	13.0	0.071428575	76
9	false	13.0	0.071428575	76
10	false	11.0	0.083333336	78
11	false	11.0	0.083333336	78
12	false	11.0	0.083333336	78
13	false	11.0	0.083333336	78
14	false	10.0	0.09090909	79
