Use.bias Bias Pop.size Elite.prop Tourny.size Standardized.fitness Adjusted.fitness Hits
false 1.000000 10240 0.000000 2 89.92656 0.010997887 28
false 1.000000 10240 0.000000 3 28.669317 0.033704855 528
false 1.000000 10240 0.000000 5 69.83403 0.014117508 192
false 1.000000 10240 0.000000 7 36.1458 0.026920943 300
false 1.000000 1024 0.000000 2 158.12033 0.006284552 36
false 1.000000 1024 0.000000 3 80.362885 0.0122906165 52
false 1.000000 1024 0.000000 5 42.55616 0.022958865 74
false 1.000000 1024 0.000000 7 256.3148 0.0038862904 91
false 1.000000 10240 0.010000 2 0.0 1.0 676
false 1.000000 10240 0.010000 3 0.0 1.0 676
false 1.000000 10240 0.010000 5 26.2859 0.036648966 580
false 1.000000 10240 0.010000 7 62.29871 0.01579811 202
false 1.000000 1024 0.010000 2 136.95041 0.007248982 66
false 1.000000 1024 0.010000 3 164.46983 0.006043398 38
false 1.000000 1024 0.010000 5 54.840214 0.017908242 188
false 1.000000 1024 0.010000 7 55.81468 0.017601086 176
true 0.000000 10240 0.000000 2 142.05171 0.0069904793 16
true 0.000000 10240 0.000000 3 30.076574 0.03217858 518
true 0.000000 10240 0.000000 5 0.0 1.0 676
true 0.000000 10240 0.000000 7 0.0 1.0 676
true 0.000000 1024 0.000000 2 117.106834 0.008466911 28
true 0.000000 1024 0.000000 3 267.53326 0.0037239334 84
true 0.000000 1024 0.000000 5 130.91342 0.0075807297 82
true 0.000000 1024 0.000000 7 46.411804 0.021091795 484
true 0.000000 10240 0.010000 2 69.80736 0.014122826 196
true 0.000000 10240 0.010000 3 0.0 1.0 676
true 0.000000 10240 0.010000 5 23.139273 0.041426267 176
true 0.000000 10240 0.010000 7 60.06813 0.016375152 60
true 0.000000 1024 0.010000 2 141.09903 0.007037346 168
true 0.000000 1024 0.010000 3 144.09042 0.0068922536 260
true 0.000000 1024 0.010000 5 0.0 1.0 676
true 0.000000 1024 0.010000 7 36.9674 0.026338385 288
true 0.250000 10240 0.000000 2 141.55984 0.0070145978 240
true 0.250000 10240 0.000000 3 27.980324 0.034506172 556
true 0.250000 10240 0.000000 5 16.911404 0.055830352 480
true 0.250000 10240 0.000000 7 0.0 1.0 676
true 0.250000 1024 0.000000 2 158.12033 0.006284552 36
