Use.bias Bias Pop.size Elite.prop Tourny.size Standardized.fitness Adjusted.fitness Hits
false 1.000000 10240 0.000000 2 41.248665 0.023669386 136
false 1.000000 10240 0.000000 3 18.417904 0.051498864 152
false 1.000000 10240 0.000000 5 14.879498 0.06297428 272
false 1.000000 10240 0.000000 7 10.791113 0.08480964 368
false 1.000000 1024 0.000000 2 54.48694 0.01802226 212
false 1.000000 1024 0.000000 3 15.979922 0.05889308 192
false 1.000000 1024 0.000000 5 39.087162 0.024945643 148
false 1.000000 1024 0.000000 7 40.716995 0.023971045 136
false 1.000000 10240 0.010000 2 29.330688 0.032969907 108
false 1.000000 10240 0.010000 3 9.526221 0.095000856 512
false 1.000000 10240 0.010000 5 11.81303 0.07804555 252
false 1.000000 10240 0.010000 7 7.5892982 0.11642395 452
false 1.000000 1024 0.010000 2 26.003094 0.037032794 116
false 1.000000 1024 0.010000 3 3.1042864 0.24364772 628
false 1.000000 1024 0.010000 5 17.761593 0.053300377 160
false 1.000000 1024 0.010000 7 38.827118 0.02510852 192
true 0.000000 10240 0.000000 2 36.33511 0.02678444 44
true 0.000000 10240 0.000000 3 15.746221 0.05971497 244
true 0.000000 10240 0.000000 5 10.670229 0.08568812 384
true 0.000000 10240 0.000000 7 10.252581 0.088868506 372
true 0.000000 1024 0.000000 2 158.10426 0.006285187 56
true 0.000000 1024 0.000000 3 30.191423 0.032060094 80
true 0.000000 1024 0.000000 5 18.492687 0.05130129 264
true 0.000000 1024 0.000000 7 60.043472 0.016381769 76
true 0.000000 10240 0.010000 2 23.226398 0.041277286 132
true 0.000000 10240 0.010000 3 12.69091 0.07304116 232
true 0.000000 10240 0.010000 5 9.341625 0.0966966 380
true 0.000000 10240 0.010000 7 10.669741 0.085691705 290
true 0.000000 1024 0.010000 2 29.89697 0.03236563 76
true 0.000000 1024 0.010000 3 29.881935 0.03238139 124
true 0.000000 1024 0.010000 5 10.641787 0.08589747 396
true 0.000000 1024 0.010000 7 19.903158 0.04783966 172
true 0.250000 10240 0.000000 2 15.019795 0.062422775 232
true 0.250000 10240 0.000000 3 13.277509 0.07004023 364
true 0.250000 10240 0.000000 5 6.856124 0.12728924 540
true 0.250000 10240 0.000000 7 9.779649 0.0927674 496
true 0.250000 1024 0.000000 2 33.964302 0.0286006 320
true 0.250000 1024 0.000000 3 38.819977 0.025113024 120
true 0.250000 1024 0.000000 5 15.617232 0.06017849 400
true 0.250000 1024 0.000000 7 16.82219 0.05610983 180
true 0.250000 10240 0.010000 2 18.884663 0.050290015 156
true 0.250000 10240 0.010000 3 16.105854 0.05845952 276
true 0.250000 10240 0.010000 5 10.119948 0.08992848 352
true 0.250000 10240 0.010000 7 14.37466 0.06504209 224
true 0.250000 1024 0.010000 2 33.744427 0.028781595 264
true 0.250000 1024 0.010000 3 37.48588 0.025983553 116
true 0.250000 1024 0.010000 5 15.317665 0.06128328 280
true 0.250000 1024 0.010000 7 48.121147 0.02035783 112
true 0.500000 10240 0.000000 2 22.769342 0.042071 200
true 0.500000 10240 0.000000 3 15.589049 0.060280725 188
true 0.500000 10240 0.000000 5 7.6428657 0.11570236 464
true 0.500000 10240 0.000000 7 37.759052 0.025800424 184
true 0.500000 1024 0.000000 2 21.121813 0.045204252 146
true 0.500000 1024 0.000000 3 22.594563 0.042382646 208
true 0.500000 1024 0.000000 5 17.197056 0.054953944 172
true 0.500000 1024 0.000000 7 25.624409 0.03755952 192
true 0.500000 10240 0.010000 2 11.537915 0.07975808 348
true 0.500000 10240 0.010000 3 16.813137 0.056138344 204
true 0.500000 10240 0.010000 5 15.716943 0.059819553 224
true 0.500000 10240 0.010000 7 6.647195 0.1307669 532
true 0.500000 1024 0.010000 2 21.217207 0.045010157 112
true 0.500000 1024 0.010000 3 48.07401 0.020377386 220
true 0.500000 1024 0.010000 5 25.743242 0.037392624 188
true 0.500000 1024 0.010000 7 57.562225 0.017075853 116
true 0.750000 10240 0.000000 2 14.347611 0.06515672 212
true 0.750000 10240 0.000000 3 13.483126 0.06904587 276
true 0.750000 10240 0.000000 5 8.659624 0.103523694 412
true 0.750000 10240 0.000000 7 9.05767 0.09942661 384
true 0.750000 1024 0.000000 2 41.939903 0.023288362 108
true 0.750000 1024 0.000000 3 44.07227 0.02218659 232
true 0.750000 1024 0.000000 5 81.8724 0.012066744 30
true 0.750000 1024 0.000000 7 15.099292 0.06211453 256
true 0.750000 10240 0.010000 2 10.132948 0.08982347 356
true 0.750000 10240 0.010000 3 15.684164 0.059937075 308
true 0.750000 10240 0.010000 5 9.977094 0.09109879 436
true 0.750000 10240 0.010000 7 11.718619 0.07862489 452
true 0.750000 1024 0.010000 2 23.07688 0.041533623 156
true 0.750000 1024 0.010000 3 30.404839 0.031842228 140
true 0.750000 1024 0.010000 5 69.96425 0.0140916025 64
true 0.750000 1024 0.010000 7 26.575758 0.036263734 172
true 1.000000 10240 0.000000 2 10.804592 0.084712796 288
true 1.000000 10240 0.000000 3 13.668492 0.068173334 272
true 1.000000 10240 0.000000 5 9.340739 0.096704885 416
true 1.000000 10240 0.000000 7 17.99173 0.052654497 164
true 1.000000 1024 0.000000 2 40.54518 0.024070181 180
true 1.000000 1024 0.000000 3 11.419063 0.080521375 346
true 1.000000 1024 0.000000 5 35.427753 0.027451597 80
true 1.000000 1024 0.000000 7 18.862528 0.050346058 148
true 1.000000 10240 0.010000 2 10.149704 0.08968848 352
true 1.000000 10240 0.010000 3 7.2883196 0.12065172 436
true 1.000000 10240 0.010000 5 11.1045 0.08261391 304
true 1.000000 10240 0.010000 7 10.069761 0.09033618 432
true 1.000000 1024 0.010000 2 16.656723 0.05663565 176
true 1.000000 1024 0.010000 3 18.64178 0.05091188 220
true 1.000000 1024 0.010000 5 59.949093 0.016407136 144
true 1.000000 1024 0.010000 7 17.601412 0.05375936 260
false 1.000000 10240 0.000000 2 41.949997 0.02328289 40
false 1.000000 10240 0.000000 3 12.413471 0.07455192 300
false 1.000000 10240 0.000000 5 15.036889 0.062356237 156
false 1.000000 10240 0.000000 7 10.63251 0.08596597 476
false 1.000000 1024 0.000000 2 55.2603 0.017774522 124
false 1.000000 1024 0.000000 3 21.328163 0.044786487 220
false 1.000000 1024 0.000000 5 31.003063 0.031247009 52
false 1.000000 1024 0.000000 7 37.806736 0.025768721 180
false 1.000000 10240 0.010000 2 17.777802 0.05325437 224
false 1.000000 10240 0.010000 3 15.111602 0.062067073 212
false 1.000000 10240 0.010000 5 12.463372 0.0742756 464
false 1.000000 10240 0.010000 7 14.996962 0.06251187 292
false 1.000000 1024 0.010000 2 38.93726 0.025039274 196
false 1.000000 1024 0.010000 3 49.08744 0.019965084 160
false 1.000000 1024 0.010000 5 20.071163 0.047458224 292
