Generation	Bias	Standardized.fitness	Adjusted.fitness	Hits
0	false	26.864674	0.035887733	0
1	false	22.172173	0.043155212	0
2	false	22.172173	0.043155212	0
3	false	22.054874	0.043374777	1
4	false	22.054874	0.043374777	1
5	false	21.786736	0.04388518	0
6	false	20.510828	0.046488214	1
7	false	20.510828	0.046488214	1
8	false	19.832483	0.04800196	1
9	false	19.832483	0.04800196	1
10	false	19.832483	0.04800196	1
11	false	19.212273	0.04947489	2
12	false	17.598125	0.05376886	1
13	false	16.49575	0.057156738	1
14	false	9.539005	0.09488562	0
15	false	9.539005	0.09488562	0
16	false	9.539005	0.09488562	0
17	false	8.484035	0.105440356	4
18	false	8.484035	0.105440356	4
19	false	8.484035	0.105440356	4
20	false	8.484035	0.105440356	4
21	false	8.4520235	0.105797455	1
22	false	8.4520235	0.105797455	1
23	false	7.9013753	0.11234219	3
24	false	7.9013753	0.11234219	3
25	false	7.1048665	0.123382665	4
26	false	7.1048665	0.123382665	4
27	false	7.1048665	0.123382665	4
28	false	6.8291054	0.12772852	5
29	false	6.8291054	0.12772852	5
30	false	6.8291054	0.12772852	5
31	false	6.047444	0.14189541	7
32	false	6.047444	0.14189541	7
33	false	5.0767674	0.16456118	5
34	false	5.0767674	0.16456118	5
35	false	5.0641956	0.16490233	3
36	false	4.973101	0.16741723	5
37	false	4.7600827	0.17360862	6
38	false	4.5724783	0.17945337	5
39	false	4.5724783	0.17945337	5
40	false	4.5724783	0.17945337	5
41	false	4.5724783	0.17945337	5
42	false	4.328569	0.18766765	4
43	false	4.328569	0.18766765	4
44	false	4.328569	0.18766765	4
45	false	4.2512136	0.19043218	3
46	false	4.2044115	0.19214468	7
47	false	4.0934753	0.19632961	6
48	false	4.0934753	0.19632961	6
49	false	4.0157323	0.19937268	4
50	false	3.9987457	0.20005018	5
0	true	24.568897	0.039110016	1
1	true	21.27448	0.044894423	1
2	true	24.568897	0.039110016	1
3	true	23.354147	0.041060768	0
4	true	21.28697	0.044869266	0
5	true	23.341751	0.041081678	0
6	true	21.352217	0.044738293	1
7	true	19.559671	0.04863891	0
8	true	17.927862	0.052832168	0
9	true	17.526485	0.053976778	2
10	true	16.03924	0.058688063	0
11	true	15.2569685	0.06151208	1
12	true	15.2301035	0.061613906	1
13	true	13.269635	0.07007888	2
14	true	12.957052	0.07164837	1
15	true	9.883926	0.09187861	8
16	true	7.683308	0.11516349	9
17	true	7.683308	0.11516349	9
18	true	7.669137	0.11535174	8
19	true	7.669137	0.11535174	8
20	true	7.490862	0.117773674	5
21	true	7.4846463	0.11785996	5
22	true	7.2586064	0.12108581	5
23	true	7.2586064	0.12108581	5
24	true	6.8533726	0.12733383	3
25	true	5.61624	0.15114325	7
26	true	5.61624	0.15114325	7
27	true	5.4763155	0.15440878	7
28	true	5.3380346	0.15777762	7
29	true	5.03632	0.16566384	10
30	true	4.9222927	0.16885352	12
31	true	4.8313303	0.17148745	7
32	true	4.8313303	0.17148745	7
33	true	4.809162	0.17214186	7
34	true	4.629809	0.17762592	7
35	true	4.5403843	0.1804929	12
36	true	4.5403843	0.1804929	12
37	true	4.443636	0.18370076	10
38	true	4.3959823	0.18532307	10
39	true	4.3959823	0.18532307	10
40	true	4.3423276	0.18718433	14
41	true	4.3003025	0.18866847	10
42	true	4.229671	0.19121662	10
43	true	4.2320566	0.19112943	8
44	true	4.1415825	0.19449265	8
45	true	4.041506	0.19835344	10
46	true	4.022626	0.19909903	14
47	true	4.022626	0.19909903	14
48	true	4.022626	0.19909903	14
49	true	3.9253254	0.20303227	15
50	true	3.9253254	0.20303227	15
0	false	24.448196	0.039295517	0
1	false	23.137974	0.0414285	2
2	false	23.137974	0.0414285	2
3	false	23.137974	0.0414285	2
4	false	23.137974	0.0414285	2
5	false	23.137974	0.0414285	2
6	false	22.977863	0.041705135	1
7	false	22.969028	0.041720506	1
8	false	22.011051	0.04345738	1
9	false	21.554543	0.044336967	0
10	false	21.336975	0.044768818	2
11	false	20.93408	0.045591153	1
12	false	15.848356	0.05935297	1
13	false	15.848356	0.05935297	1
14	false	15.848356	0.05935297	1
15	false	15.848356	0.05935297	1
16	false	15.725073	0.059790473	2
17	false	14.700606	0.06369181	2
18	false	13.949501	0.066891864	2
19	false	13.313732	0.069862984	8
20	false	12.992754	0.07146556	5
21	false	13.163946	0.07060179	2
22	false	11.730423	0.078551985	3
23	false	12.74757	0.07274013	3
24	false	12.539917	0.0738557	3
25	false	12.539917	0.0738557	3
26	false	12.2405205	0.07552573	3
27	false	12.204057	0.0757343	4
28	false	12.00838	0.076873526	3
29	false	11.718172	0.07862765	7
30	false	11.718172	0.07862765	7
31	false	11.438217	0.080397375	2
32	false	11.072254	0.08283457	6
33	false	10.3174925	0.0883588	7
34	false	10.265962	0.088762954	3
35	false	10.1538105	0.08965546	5
36	false	9.887127	0.0918516	13
37	false	9.462632	0.095578246	9
38	false	9.039223	0.09960931	8
39	false	8.807852	0.101959124	5
40	false	8.182523	0.10890254	4
41	false	7.93073	0.11197293	5
42	false	7.93073	0.11197293	5
43	false	5.3321743	0.15792364	5
44	false	5.3321743	0.15792364	5
45	false	4.6553435	0.17682391	9
46	false	4.6553435	0.17682391	9
47	false	4.6553435	0.17682391	9
48	false	4.6553435	0.17682391	9
49	false	4.643552	0.17719337	8
50	false	4.6206427	0.1779156	10
0	true	24.02347	0.03996248	2
1	true	25.286936	0.03804171	0
2	true	24.487167	0.03923543	2
3	true	23.96144	0.040061794	1
4	true	21.65576	0.044138886	1
5	true	20.197548	0.04717527	0
6	true	19.992392	0.047636308	1
7	true	19.903133	0.047839716	0
8	true	19.355272	0.04912732	1
9	true	18.162508	0.052185237	3
10	true	17.913887	0.052871205	1
11	true	17.011715	0.05551942	0
12	true	16.297071	0.057813253	3
13	true	15.6201725	0.06016785	3
14	true	15.6201725	0.06016785	3
15	true	15.237518	0.061585765	1
16	true	14.600673	0.0640998	2
17	true	14.484856	0.064579226	3
18	true	14.334994	0.06521033	4
19	true	14.078941	0.066317655	6
20	true	13.743591	0.06782608	4
21	true	13.310395	0.06987927	2
22	true	13.310395	0.06987927	2
23	true	13.125592	0.070793495	1
24	true	12.866984	0.07211373	1
25	true	11.456619	0.080278605	2
26	true	11.456619	0.080278605	2
27	true	11.452228	0.08030692	1
28	true	10.652359	0.085819535	2
29	true	10.384306	0.08784022	1
30	true	9.884555	0.0918733	1
31	true	9.932003	0.09147455	3
32	true	9.560097	0.094696105	3
33	true	9.160766	0.09841778	1
34	true	8.685577	0.103246294	4
35	true	8.685577	0.103246294	4
36	true	8.593013	0.10424254	2
37	true	8.091975	0.1099871	3
38	true	8.091975	0.1099871	3
39	true	8.091975	0.1099871	3
40	true	7.919089	0.11211908	2
41	true	7.919089	0.11211908	2
42	true	7.803446	0.11359189	2
43	true	7.616344	0.1160585	4
44	true	7.616344	0.1160585	4
45	true	7.616344	0.1160585	4
46	true	7.499888	0.11764862	4
47	true	7.4219384	0.11873752	3
48	true	7.4219384	0.11873752	3
49	true	7.360113	0.11961561	2
50	true	7.1828	0.12220755	2
0	false	24.832842	0.038710415	1
1	false	23.328537	0.041103993	0
2	false	23.328537	0.041103993	0
3	false	22.30788	0.042903945	2
4	false	19.760622	0.048168115	1
5	false	17.54382	0.053926323	0
6	false	17.30113	0.054641433	2
7	false	16.817257	0.05612536	0
8	false	16.817257	0.05612536	0
9	false	14.815716	0.06322825	3
10	false	12.920057	0.07183878	3
11	false	12.206736	0.07571894	2
12	false	10.189573	0.08936891	3
13	false	9.965296	0.09119681	5
14	false	8.519586	0.10504659	4
15	false	8.1126	0.10973816	4
16	false	8.1126	0.10973816	4
17	false	7.079659	0.12376761	4
18	false	6.1825867	0.1392256	5
19	false	6.1813664	0.13924927	5
20	false	4.851988	0.1708821	6
21	false	4.379189	0.18590163	7
22	false	3.8550603	0.20597066	9
23	false	3.8550603	0.20597066	9
24	false	3.4383636	0.22530827	16
25	false	3.4383636	0.22530827	16
26	false	3.3454285	0.2301269	9
27	false	3.0404248	0.24749872	9
28	false	2.7153132	0.2691563	14
29	false	2.5459754	0.28200984	14
30	false	2.5459754	0.28200984	14
31	false	2.5183551	0.28422374	14
32	false	2.4943016	0.28618023	13
33	false	2.15333	0.31712505	10
34	false	2.20655	0.31186166	10
35	false	2.146517	0.31781173	10
36	false	2.146517	0.31781173	10
37	false	2.146517	0.31781173	10
38	false	1.9490933	0.33908728	13
39	false	1.8821319	0.34696537	12
40	false	1.8821319	0.34696537	12
41	false	1.861948	0.34941235	13
42	false	1.7756684	0.3602736	11
43	false	1.7756684	0.3602736	11
44	false	1.7612761	0.36215138	11
45	false	1.7161981	0.36816168	9
46	false	1.7161981	0.36816168	9
47	false	1.6621683	0.37563366	13
48	false	1.6588774	0.37609857	15
49	false	1.588218	0.38636622	17
50	false	1.5977187	0.38495314	18
0	true	24.432959	0.03931906	0
1	true	23.967936	0.040051367	0
2	true	23.829422	0.0402748	1
3	true	18.494467	0.051296607	1
4	true	18.385132	0.051585928	1
5	true	15.694804	0.059898872	1
6	true	15.18029	0.061803587	8
7	true	14.319407	0.065276675	3
8	true	13.882674	0.06719223	1
9	true	12.99554	0.071451336	6
10	true	12.852239	0.0721905	4
11	true	12.852239	0.0721905	4
12	true	12.852239	0.0721905	4
13	true	12.785106	0.072542064	6
14	true	12.404964	0.07459923	3
15	true	12.254874	0.075443946	3
16	true	11.856978	0.07777877	4
17	true	11.674295	0.07889985	7
18	true	10.804681	0.08471216	3
19	true	10.766509	0.08498698	3
20	true	10.766354	0.084988095	3
21	true	10.725489	0.08528429	3
22	true	10.434034	0.08745819	5
23	true	10.434034	0.08745819	5
24	true	10.355253	0.08806497	3
25	true	9.820974	0.09241312	4
26	true	9.727458	0.09321873	5
27	true	9.727458	0.09321873	5
28	true	9.65495	0.09385309	6
29	true	9.320851	0.09689123	7
30	true	8.997591	0.1000241	4
31	true	8.69238	0.10317384	7
32	true	7.588778	0.116431005	5
33	true	7.379727	0.11933564	5
34	true	6.836263	0.12761185	4
35	true	6.407949	0.13499013	6
36	true	5.992819	0.14300385	6
37	true	5.78291	0.14742935	7
38	true	4.8536572	0.17083336	4
39	true	4.2591596	0.19014445	5
40	true	3.7104907	0.2122921	12
41	true	3.5198267	0.2212474	3
42	true	3.4715598	0.22363563	11
43	true	2.703457	0.27001798	14
44	true	2.532134	0.28311497	11
45	true	2.532134	0.28311497	11
46	true	2.3641407	0.2972527	7
47	true	2.234472	0.30916947	9
48	true	2.0575957	0.32705435	7
49	true	1.4597529	0.40654486	16
50	true	1.4597529	0.40654486	16
0	false	24.750034	0.0388349	2
1	false	24.750034	0.0388349	2
2	false	23.42675	0.040938724	1
3	false	23.42675	0.040938724	1
4	false	24.025303	0.039959557	1
5	false	22.264906	0.042983197	1
6	false	21.981836	0.043512624	1
7	false	21.925934	0.043618724	4
8	false	21.802773	0.043854315	2
9	false	21.578117	0.044290673	1
10	false	19.492767	0.048797704	1
11	false	18.211893	0.05205109	1
12	false	18.514837	0.05124306	0
13	false	17.844204	0.053066716	1
14	false	17.833668	0.053096402	1
15	false	16.023378	0.058742747	3
16	false	15.235363	0.061593942	1
17	false	15.066605	0.062240906	4
18	false	12.564486	0.07372192	1
19	false	12.564486	0.07372192	1
20	false	11.784584	0.078219205	3
21	false	11.687523	0.07881759	1
22	false	11.349499	0.080974944	3
23	false	10.625233	0.086019784	1
24	false	10.625233	0.086019784	1
25	false	9.945445	0.09136221	3
26	false	9.636539	0.09401554	1
27	false	9.628825	0.09408378	5
28	false	9.568465	0.09462112	1
29	false	9.534815	0.094923355	5
30	false	8.917466	0.10083221	3
31	false	8.618427	0.1039671	3
32	false	7.1722026	0.122366026	5
33	false	7.1722026	0.122366026	5
34	false	7.7282724	0.11457021	3
35	false	7.549747	0.11696252	3
36	false	7.549747	0.11696252	3
37	false	7.549747	0.11696252	3
38	false	7.3886375	0.11920887	3
39	false	7.3478785	0.11979091	4
40	false	7.171501	0.12237654	7
41	false	7.171501	0.12237654	7
